method,alpha,coverage,dgp,statistic,n,B,repetitions
standard,0.05,0.0185,DGPLaplace_0_1,std,32,1000,10000
smoothed,0.05,0.0112,DGPLaplace_0_1,std,32,1000,10000
double,0.05,0.0353,DGPLaplace_0_1,std,32,1000,10000
studentized,0.05,0.0189,DGPLaplace_0_1,std,32,1000,10000
chi_sq,0.05,0.101,DGPLaplace_0_1,std,32,1000,10000
percentile,0.25,0.1236,DGPLaplace_0_1,std,32,1000,10000
basic,0.25,0.226,DGPLaplace_0_1,std,32,1000,10000
bca,0.25,0.2374,DGPLaplace_0_1,std,32,1000,10000
bc,0.25,0.2292,DGPLaplace_0_1,std,32,1000,10000
standard,0.25,0.1809,DGPLaplace_0_1,std,32,1000,10000
smoothed,0.25,0.1281,DGPLaplace_0_1,std,32,1000,10000
double,0.25,0.2273,DGPLaplace_0_1,std,32,1000,10000
studentized,0.25,0.2091,DGPLaplace_0_1,std,32,1000,10000
chi_sq,0.25,0.2568,DGPLaplace_0_1,std,32,1000,10000
percentile,0.75,0.5549,DGPLaplace_0_1,std,32,1000,10000
basic,0.75,0.652,DGPLaplace_0_1,std,32,1000,10000
bca,0.75,0.6609,DGPLaplace_0_1,std,32,1000,10000
bc,0.75,0.6459,DGPLaplace_0_1,std,32,1000,10000
standard,0.75,0.5996,DGPLaplace_0_1,std,32,1000,10000
smoothed,0.75,0.559,DGPLaplace_0_1,std,32,1000,10000
double,0.75,0.6977,DGPLaplace_0_1,std,32,1000,10000
studentized,0.75,0.6731,DGPLaplace_0_1,std,32,1000,10000
chi_sq,0.75,0.6019,DGPLaplace_0_1,std,32,1000,10000
percentile,0.95,0.7674,DGPLaplace_0_1,std,32,1000,10000
basic,0.95,0.8233,DGPLaplace_0_1,std,32,1000,10000
bca,0.95,0.8498,DGPLaplace_0_1,std,32,1000,10000
bc,0.95,0.8155,DGPLaplace_0_1,std,32,1000,10000
standard,0.95,0.7949,DGPLaplace_0_1,std,32,1000,10000
smoothed,0.95,0.7705,DGPLaplace_0_1,std,32,1000,10000
double,0.95,0.8983,DGPLaplace_0_1,std,32,1000,10000
studentized,0.95,0.8587,DGPLaplace_0_1,std,32,1000,10000
chi_sq,0.95,0.8256,DGPLaplace_0_1,std,32,1000,10000
percentile,0.975,0.8096,DGPLaplace_0_1,std,32,1000,10000
basic,0.975,0.8615,DGPLaplace_0_1,std,32,1000,10000
bca,0.975,0.8896,DGPLaplace_0_1,std,32,1000,10000
bc,0.975,0.8531,DGPLaplace_0_1,std,32,1000,10000
standard,0.975,0.839,DGPLaplace_0_1,std,32,1000,10000
smoothed,0.975,0.8123,DGPLaplace_0_1,std,32,1000,10000
double,0.975,0.9217,DGPLaplace_0_1,std,32,1000,10000
studentized,0.975,0.8974,DGPLaplace_0_1,std,32,1000,10000
chi_sq,0.975,0.8775,DGPLaplace_0_1,std,32,1000,10000
percentile,0.025,0.6679,DGPLaplace_0_1,percentile_5,8,10,10000
basic,0.025,0.3659,DGPLaplace_0_1,percentile_5,8,10,10000
bca,0.025,0.0,DGPLaplace_0_1,percentile_5,8,10,10000
bc,0.025,0.0,DGPLaplace_0_1,percentile_5,8,10,10000
standard,0.025,0.4198,DGPLaplace_0_1,percentile_5,8,10,10000
smoothed,0.025,0.574,DGPLaplace_0_1,percentile_5,8,10,10000
double,0.025,0.6679,DGPLaplace_0_1,percentile_5,8,10,10000
studentized,0.025,0.2343,DGPLaplace_0_1,percentile_5,8,10,10000
ci_quant_param,0.025,0.1389,DGPLaplace_0_1,percentile_5,8,10,10000
ci_quant_nonparam,0.025,0.6679,DGPLaplace_0_1,percentile_5,8,10,10000
maritz-jarrett,0.025,0.0,DGPLaplace_0_1,percentile_5,8,10,10000
percentile,0.05,0.6679,DGPLaplace_0_1,percentile_5,8,10,10000
basic,0.05,0.3659,DGPLaplace_0_1,percentile_5,8,10,10000
bca,0.05,0.0,DGPLaplace_0_1,percentile_5,8,10,10000
bc,0.05,0.0,DGPLaplace_0_1,percentile_5,8,10,10000
standard,0.05,0.4494,DGPLaplace_0_1,percentile_5,8,10,10000
smoothed,0.05,0.574,DGPLaplace_0_1,percentile_5,8,10,10000
double,0.05,0.6679,DGPLaplace_0_1,percentile_5,8,10,10000
studentized,0.05,0.2343,DGPLaplace_0_1,percentile_5,8,10,10000
ci_quant_param,0.05,0.2039,DGPLaplace_0_1,percentile_5,8,10,10000
ci_quant_nonparam,0.05,0.6679,DGPLaplace_0_1,percentile_5,8,10,10000
maritz-jarrett,0.05,0.0,DGPLaplace_0_1,percentile_5,8,10,10000
percentile,0.25,0.6694,DGPLaplace_0_1,percentile_5,8,10,10000
basic,0.25,0.4989,DGPLaplace_0_1,percentile_5,8,10,10000
bca,0.25,0.0,DGPLaplace_0_1,percentile_5,8,10,10000
bc,0.25,0.0,DGPLaplace_0_1,percentile_5,8,10,10000
standard,0.25,0.5654,DGPLaplace_0_1,percentile_5,8,10,10000
smoothed,0.25,0.6354,DGPLaplace_0_1,percentile_5,8,10,10000
double,0.25,0.6679,DGPLaplace_0_1,percentile_5,8,10,10000
studentized,0.25,0.4353,DGPLaplace_0_1,percentile_5,8,10,10000
ci_quant_param,0.25,0.47,DGPLaplace_0_1,percentile_5,8,10,10000
ci_quant_nonparam,0.25,0.6679,DGPLaplace_0_1,percentile_5,8,10,10000
maritz-jarrett,0.25,0.0,DGPLaplace_0_1,percentile_5,8,10,10000
percentile,0.75,0.8773,DGPLaplace_0_1,percentile_5,8,10,10000
basic,0.75,0.6673,DGPLaplace_0_1,percentile_5,8,10,10000
bca,0.75,0.0,DGPLaplace_0_1,percentile_5,8,10,10000
bc,0.75,0.0,DGPLaplace_0_1,percentile_5,8,10,10000
standard,0.75,0.7858,DGPLaplace_0_1,percentile_5,8,10,10000
smoothed,0.75,0.8544,DGPLaplace_0_1,percentile_5,8,10,10000
double,0.75,0.6679,DGPLaplace_0_1,percentile_5,8,10,10000
studentized,0.75,0.6671,DGPLaplace_0_1,percentile_5,8,10,10000
ci_quant_param,0.75,0.7659,DGPLaplace_0_1,percentile_5,8,10,10000
ci_quant_nonparam,0.75,0.9409,DGPLaplace_0_1,percentile_5,8,10,10000
maritz-jarrett,0.75,0.0,DGPLaplace_0_1,percentile_5,8,10,10000
percentile,0.95,0.9734,DGPLaplace_0_1,percentile_5,8,10,10000
basic,0.95,0.6679,DGPLaplace_0_1,percentile_5,8,10,10000
bca,0.95,0.0,DGPLaplace_0_1,percentile_5,8,10,10000
bc,0.95,0.0,DGPLaplace_0_1,percentile_5,8,10,10000
standard,0.95,0.935,DGPLaplace_0_1,percentile_5,8,10,10000
smoothed,0.95,0.9729,DGPLaplace_0_1,percentile_5,8,10,10000
double,0.95,0.6679,DGPLaplace_0_1,percentile_5,8,10,10000
studentized,0.95,0.6679,DGPLaplace_0_1,percentile_5,8,10,10000
ci_quant_param,0.95,0.8852,DGPLaplace_0_1,percentile_5,8,10,10000
ci_quant_nonparam,0.95,0.993,DGPLaplace_0_1,percentile_5,8,10,10000
maritz-jarrett,0.95,0.0,DGPLaplace_0_1,percentile_5,8,10,10000
percentile,0.975,0.9734,DGPLaplace_0_1,percentile_5,8,10,10000
basic,0.975,0.6679,DGPLaplace_0_1,percentile_5,8,10,10000
bca,0.975,0.0,DGPLaplace_0_1,percentile_5,8,10,10000
bc,0.975,0.0,DGPLaplace_0_1,percentile_5,8,10,10000
standard,0.975,0.9577,DGPLaplace_0_1,percentile_5,8,10,10000
smoothed,0.975,0.9729,DGPLaplace_0_1,percentile_5,8,10,10000
double,0.975,0.6679,DGPLaplace_0_1,percentile_5,8,10,10000
studentized,0.975,0.6679,DGPLaplace_0_1,percentile_5,8,10,10000
ci_quant_param,0.975,0.9112,DGPLaplace_0_1,percentile_5,8,10,10000
ci_quant_nonparam,0.975,0.993,DGPLaplace_0_1,percentile_5,8,10,10000
maritz-jarrett,0.975,0.0,DGPLaplace_0_1,percentile_5,8,10,10000
percentile,0.025,0.6591,DGPLaplace_0_1,percentile_5,8,100,10000
basic,0.025,0.3063,DGPLaplace_0_1,percentile_5,8,100,10000
bca,0.025,0.0,DGPLaplace_0_1,percentile_5,8,100,10000
bc,0.025,0.0,DGPLaplace_0_1,percentile_5,8,100,10000
standard,0.025,0.3978,DGPLaplace_0_1,percentile_5,8,100,10000
smoothed,0.025,0.5074,DGPLaplace_0_1,percentile_5,8,100,10000
double,0.025,0.6591,DGPLaplace_0_1,percentile_5,8,100,10000
studentized,0.025,0.1797,DGPLaplace_0_1,percentile_5,8,100,10000
ci_quant_param,0.025,0.1375,DGPLaplace_0_1,percentile_5,8,100,10000
ci_quant_nonparam,0.025,0.6591,DGPLaplace_0_1,percentile_5,8,100,10000
maritz-jarrett,0.025,0.0,DGPLaplace_0_1,percentile_5,8,100,10000
percentile,0.05,0.6591,DGPLaplace_0_1,percentile_5,8,100,10000
basic,0.05,0.3412,DGPLaplace_0_1,percentile_5,8,100,10000
bca,0.05,0.0,DGPLaplace_0_1,percentile_5,8,100,10000
bc,0.05,0.0,DGPLaplace_0_1,percentile_5,8,100,10000
standard,0.05,0.4299,DGPLaplace_0_1,percentile_5,8,100,10000
smoothed,0.05,0.5289,DGPLaplace_0_1,percentile_5,8,100,10000
double,0.05,0.6591,DGPLaplace_0_1,percentile_5,8,100,10000
studentized,0.05,0.234,DGPLaplace_0_1,percentile_5,8,100,10000
ci_quant_param,0.05,0.2059,DGPLaplace_0_1,percentile_5,8,100,10000
ci_quant_nonparam,0.05,0.6591,DGPLaplace_0_1,percentile_5,8,100,10000
maritz-jarrett,0.05,0.0,DGPLaplace_0_1,percentile_5,8,100,10000
percentile,0.25,0.6591,DGPLaplace_0_1,percentile_5,8,100,10000
basic,0.25,0.4562,DGPLaplace_0_1,percentile_5,8,100,10000
bca,0.25,0.0,DGPLaplace_0_1,percentile_5,8,100,10000
bc,0.25,0.0,DGPLaplace_0_1,percentile_5,8,100,10000
standard,0.25,0.5531,DGPLaplace_0_1,percentile_5,8,100,10000
smoothed,0.25,0.6091,DGPLaplace_0_1,percentile_5,8,100,10000
double,0.25,0.6591,DGPLaplace_0_1,percentile_5,8,100,10000
studentized,0.25,0.422,DGPLaplace_0_1,percentile_5,8,100,10000
ci_quant_param,0.25,0.4727,DGPLaplace_0_1,percentile_5,8,100,10000
ci_quant_nonparam,0.25,0.6591,DGPLaplace_0_1,percentile_5,8,100,10000
maritz-jarrett,0.25,0.0,DGPLaplace_0_1,percentile_5,8,100,10000
percentile,0.75,0.9344,DGPLaplace_0_1,percentile_5,8,100,10000
basic,0.75,0.6591,DGPLaplace_0_1,percentile_5,8,100,10000
bca,0.75,0.0,DGPLaplace_0_1,percentile_5,8,100,10000
bc,0.75,0.0,DGPLaplace_0_1,percentile_5,8,100,10000
standard,0.75,0.7884,DGPLaplace_0_1,percentile_5,8,100,10000
smoothed,0.75,0.8862,DGPLaplace_0_1,percentile_5,8,100,10000
double,0.75,0.6591,DGPLaplace_0_1,percentile_5,8,100,10000
studentized,0.75,0.6591,DGPLaplace_0_1,percentile_5,8,100,10000
ci_quant_param,0.75,0.7564,DGPLaplace_0_1,percentile_5,8,100,10000
ci_quant_nonparam,0.75,0.9402,DGPLaplace_0_1,percentile_5,8,100,10000
maritz-jarrett,0.75,0.0,DGPLaplace_0_1,percentile_5,8,100,10000
percentile,0.95,0.9935,DGPLaplace_0_1,percentile_5,8,100,10000
basic,0.95,0.6591,DGPLaplace_0_1,percentile_5,8,100,10000
bca,0.95,0.0,DGPLaplace_0_1,percentile_5,8,100,10000
bc,0.95,0.0,DGPLaplace_0_1,percentile_5,8,100,10000
standard,0.95,0.9572,DGPLaplace_0_1,percentile_5,8,100,10000
smoothed,0.95,0.9938,DGPLaplace_0_1,percentile_5,8,100,10000
double,0.95,0.6591,DGPLaplace_0_1,percentile_5,8,100,10000
studentized,0.95,0.6591,DGPLaplace_0_1,percentile_5,8,100,10000
ci_quant_param,0.95,0.8814,DGPLaplace_0_1,percentile_5,8,100,10000
ci_quant_nonparam,0.95,0.9945,DGPLaplace_0_1,percentile_5,8,100,10000
maritz-jarrett,0.95,0.0,DGPLaplace_0_1,percentile_5,8,100,10000
percentile,0.975,0.9973,DGPLaplace_0_1,percentile_5,8,100,10000
basic,0.975,0.6591,DGPLaplace_0_1,percentile_5,8,100,10000
bca,0.975,0.0,DGPLaplace_0_1,percentile_5,8,100,10000
bc,0.975,0.0,DGPLaplace_0_1,percentile_5,8,100,10000
standard,0.975,0.9808,DGPLaplace_0_1,percentile_5,8,100,10000
smoothed,0.975,0.9976,DGPLaplace_0_1,percentile_5,8,100,10000
double,0.975,0.6591,DGPLaplace_0_1,percentile_5,8,100,10000
studentized,0.975,0.6591,DGPLaplace_0_1,percentile_5,8,100,10000
ci_quant_param,0.975,0.9099,DGPLaplace_0_1,percentile_5,8,100,10000
ci_quant_nonparam,0.975,0.9945,DGPLaplace_0_1,percentile_5,8,100,10000
maritz-jarrett,0.975,0.0,DGPLaplace_0_1,percentile_5,8,100,10000
percentile,0.025,0.0633,DGPBeta_10_2,percentile_5,64,1000,10000
basic,0.025,0.103,DGPBeta_10_2,percentile_5,64,1000,10000
bca,0.025,0.035,DGPBeta_10_2,percentile_5,64,1000,10000
bc,0.025,0.0352,DGPBeta_10_2,percentile_5,64,1000,10000
standard,0.025,0.0552,DGPBeta_10_2,percentile_5,64,1000,10000
smoothed,0.025,0.0586,DGPBeta_10_2,percentile_5,64,1000,10000
double,0.025,0.035,DGPBeta_10_2,percentile_5,64,1000,10000
studentized,0.025,0.0429,DGPBeta_10_2,percentile_5,64,1000,10000
ci_quant_param,0.025,0.1174,DGPBeta_10_2,percentile_5,64,1000,10000
ci_quant_nonparam,0.025,0.035,DGPBeta_10_2,percentile_5,64,1000,10000
maritz-jarrett,0.025,0.0292,DGPBeta_10_2,percentile_5,64,1000,10000
percentile,0.05,0.0694,DGPBeta_10_2,percentile_5,64,1000,10000
basic,0.05,0.1349,DGPBeta_10_2,percentile_5,64,1000,10000
bca,0.05,0.0353,DGPBeta_10_2,percentile_5,64,1000,10000
bc,0.05,0.0484,DGPBeta_10_2,percentile_5,64,1000,10000
standard,0.05,0.077,DGPBeta_10_2,percentile_5,64,1000,10000
smoothed,0.05,0.0735,DGPBeta_10_2,percentile_5,64,1000,10000
double,0.05,0.0373,DGPBeta_10_2,percentile_5,64,1000,10000
studentized,0.05,0.0844,DGPBeta_10_2,percentile_5,64,1000,10000
ci_quant_param,0.05,0.1591,DGPBeta_10_2,percentile_5,64,1000,10000
ci_quant_nonparam,0.05,0.1598,DGPBeta_10_2,percentile_5,64,1000,10000
maritz-jarrett,0.05,0.0431,DGPBeta_10_2,percentile_5,64,1000,10000
percentile,0.25,0.2561,DGPBeta_10_2,percentile_5,64,1000,10000
basic,0.25,0.2813,DGPBeta_10_2,percentile_5,64,1000,10000
bca,0.25,0.1628,DGPBeta_10_2,percentile_5,64,1000,10000
bc,0.25,0.173,DGPBeta_10_2,percentile_5,64,1000,10000
standard,0.25,0.2507,DGPBeta_10_2,percentile_5,64,1000,10000
smoothed,0.25,0.2648,DGPBeta_10_2,percentile_5,64,1000,10000
double,0.25,0.2054,DGPBeta_10_2,percentile_5,64,1000,10000
studentized,0.25,0.2649,DGPBeta_10_2,percentile_5,64,1000,10000
ci_quant_param,0.25,0.3282,DGPBeta_10_2,percentile_5,64,1000,10000
ci_quant_nonparam,0.25,0.37,DGPBeta_10_2,percentile_5,64,1000,10000
maritz-jarrett,0.25,0.1627,DGPBeta_10_2,percentile_5,64,1000,10000
percentile,0.75,0.7758,DGPBeta_10_2,percentile_5,64,1000,10000
basic,0.75,0.7279,DGPBeta_10_2,percentile_5,64,1000,10000
bca,0.75,0.6008,DGPBeta_10_2,percentile_5,64,1000,10000
bc,0.75,0.6092,DGPBeta_10_2,percentile_5,64,1000,10000
standard,0.75,0.7578,DGPBeta_10_2,percentile_5,64,1000,10000
smoothed,0.75,0.7691,DGPBeta_10_2,percentile_5,64,1000,10000
double,0.75,0.6805,DGPBeta_10_2,percentile_5,64,1000,10000
studentized,0.75,0.7246,DGPBeta_10_2,percentile_5,64,1000,10000
ci_quant_param,0.75,0.6345,DGPBeta_10_2,percentile_5,64,1000,10000
ci_quant_nonparam,0.75,0.7887,DGPBeta_10_2,percentile_5,64,1000,10000
maritz-jarrett,0.75,0.7142,DGPBeta_10_2,percentile_5,64,1000,10000
percentile,0.95,0.9742,DGPBeta_10_2,percentile_5,64,1000,10000
basic,0.95,0.8989,DGPBeta_10_2,percentile_5,64,1000,10000
bca,0.95,0.8825,DGPBeta_10_2,percentile_5,64,1000,10000
bc,0.95,0.9179,DGPBeta_10_2,percentile_5,64,1000,10000
standard,0.95,0.9582,DGPBeta_10_2,percentile_5,64,1000,10000
smoothed,0.95,0.9733,DGPBeta_10_2,percentile_5,64,1000,10000
double,0.95,0.9286,DGPBeta_10_2,percentile_5,64,1000,10000
studentized,0.95,0.9141,DGPBeta_10_2,percentile_5,64,1000,10000
ci_quant_param,0.95,0.8101,DGPBeta_10_2,percentile_5,64,1000,10000
ci_quant_nonparam,0.95,0.9636,DGPBeta_10_2,percentile_5,64,1000,10000
maritz-jarrett,0.95,0.9228,DGPBeta_10_2,percentile_5,64,1000,10000
percentile,0.975,0.9901,DGPBeta_10_2,percentile_5,64,1000,10000
basic,0.975,0.906,DGPBeta_10_2,percentile_5,64,1000,10000
bca,0.975,0.9363,DGPBeta_10_2,percentile_5,64,1000,10000
bc,0.975,0.9597,DGPBeta_10_2,percentile_5,64,1000,10000
standard,0.975,0.9781,DGPBeta_10_2,percentile_5,64,1000,10000
smoothed,0.975,0.9891,DGPBeta_10_2,percentile_5,64,1000,10000
double,0.975,0.9626,DGPBeta_10_2,percentile_5,64,1000,10000
studentized,0.975,0.9487,DGPBeta_10_2,percentile_5,64,1000,10000
ci_quant_param,0.975,0.8503,DGPBeta_10_2,percentile_5,64,1000,10000
ci_quant_nonparam,0.975,0.9873,DGPBeta_10_2,percentile_5,64,1000,10000
maritz-jarrett,0.975,0.951,DGPBeta_10_2,percentile_5,64,1000,10000
percentile,0.025,0.435,DGPLaplace_0_1,percentile_5,16,10,10000
basic,0.025,0.2142,DGPLaplace_0_1,percentile_5,16,10,10000
bca,0.025,0.4147,DGPLaplace_0_1,percentile_5,16,10,10000
bc,0.025,0.4147,DGPLaplace_0_1,percentile_5,16,10,10000
standard,0.025,0.2517,DGPLaplace_0_1,percentile_5,16,10,10000
smoothed,0.025,0.3702,DGPLaplace_0_1,percentile_5,16,10,10000
double,0.025,0.435,DGPLaplace_0_1,percentile_5,16,10,10000
studentized,0.025,0.111,DGPLaplace_0_1,percentile_5,16,10,10000
ci_quant_param,0.025,0.0982,DGPLaplace_0_1,percentile_5,16,10,10000
ci_quant_nonparam,0.025,0.4333,DGPLaplace_0_1,percentile_5,16,10,10000
maritz-jarrett,0.025,0.0,DGPLaplace_0_1,percentile_5,16,10,10000
percentile,0.05,0.435,DGPLaplace_0_1,percentile_5,16,10,10000
basic,0.05,0.2142,DGPLaplace_0_1,percentile_5,16,10,10000
bca,0.05,0.4147,DGPLaplace_0_1,percentile_5,16,10,10000
bc,0.05,0.4147,DGPLaplace_0_1,percentile_5,16,10,10000
standard,0.05,0.2732,DGPLaplace_0_1,percentile_5,16,10,10000
smoothed,0.05,0.3702,DGPLaplace_0_1,percentile_5,16,10,10000
double,0.05,0.435,DGPLaplace_0_1,percentile_5,16,10,10000
studentized,0.05,0.111,DGPLaplace_0_1,percentile_5,16,10,10000
ci_quant_param,0.05,0.1403,DGPLaplace_0_1,percentile_5,16,10,10000
ci_quant_nonparam,0.05,0.4333,DGPLaplace_0_1,percentile_5,16,10,10000
maritz-jarrett,0.05,0.0,DGPLaplace_0_1,percentile_5,16,10,10000
percentile,0.25,0.4535,DGPLaplace_0_1,percentile_5,16,10,10000
basic,0.25,0.316,DGPLaplace_0_1,percentile_5,16,10,10000
bca,0.25,0.4148,DGPLaplace_0_1,percentile_5,16,10,10000
bc,0.25,0.4148,DGPLaplace_0_1,percentile_5,16,10,10000
standard,0.25,0.3721,DGPLaplace_0_1,percentile_5,16,10,10000
smoothed,0.25,0.4294,DGPLaplace_0_1,percentile_5,16,10,10000
double,0.25,0.4363,DGPLaplace_0_1,percentile_5,16,10,10000
studentized,0.25,0.2619,DGPLaplace_0_1,percentile_5,16,10,10000
ci_quant_param,0.25,0.3118,DGPLaplace_0_1,percentile_5,16,10,10000
ci_quant_nonparam,0.25,0.4333,DGPLaplace_0_1,percentile_5,16,10,10000
maritz-jarrett,0.25,0.0,DGPLaplace_0_1,percentile_5,16,10,10000
percentile,0.75,0.7705,DGPLaplace_0_1,percentile_5,16,10,10000
basic,0.75,0.4992,DGPLaplace_0_1,percentile_5,16,10,10000
bca,0.75,0.4678,DGPLaplace_0_1,percentile_5,16,10,10000
bc,0.75,0.4716,DGPLaplace_0_1,percentile_5,16,10,10000
standard,0.75,0.6103,DGPLaplace_0_1,percentile_5,16,10,10000
smoothed,0.75,0.7324,DGPLaplace_0_1,percentile_5,16,10,10000
double,0.75,0.5741,DGPLaplace_0_1,percentile_5,16,10,10000
studentized,0.75,0.5241,DGPLaplace_0_1,percentile_5,16,10,10000
ci_quant_param,0.75,0.5875,DGPLaplace_0_1,percentile_5,16,10,10000
ci_quant_nonparam,0.75,0.8081,DGPLaplace_0_1,percentile_5,16,10,10000
maritz-jarrett,0.75,0.0,DGPLaplace_0_1,percentile_5,16,10,10000
percentile,0.95,0.9354,DGPLaplace_0_1,percentile_5,16,10,10000
basic,0.95,0.5192,DGPLaplace_0_1,percentile_5,16,10,10000
bca,0.95,0.6218,DGPLaplace_0_1,percentile_5,16,10,10000
bc,0.95,0.661,DGPLaplace_0_1,percentile_5,16,10,10000
standard,0.95,0.8451,DGPLaplace_0_1,percentile_5,16,10,10000
smoothed,0.95,0.9311,DGPLaplace_0_1,percentile_5,16,10,10000
double,0.95,0.7971,DGPLaplace_0_1,percentile_5,16,10,10000
studentized,0.95,0.7283,DGPLaplace_0_1,percentile_5,16,10,10000
ci_quant_param,0.95,0.744,DGPLaplace_0_1,percentile_5,16,10,10000
ci_quant_nonparam,0.95,0.9529,DGPLaplace_0_1,percentile_5,16,10,10000
maritz-jarrett,0.95,0.0,DGPLaplace_0_1,percentile_5,16,10,10000
percentile,0.975,0.9354,DGPLaplace_0_1,percentile_5,16,10,10000
basic,0.975,0.5192,DGPLaplace_0_1,percentile_5,16,10,10000
bca,0.975,0.6788,DGPLaplace_0_1,percentile_5,16,10,10000
bc,0.975,0.7213,DGPLaplace_0_1,percentile_5,16,10,10000
standard,0.975,0.8913,DGPLaplace_0_1,percentile_5,16,10,10000
smoothed,0.975,0.9311,DGPLaplace_0_1,percentile_5,16,10,10000
double,0.975,0.7971,DGPLaplace_0_1,percentile_5,16,10,10000
studentized,0.975,0.7283,DGPLaplace_0_1,percentile_5,16,10,10000
ci_quant_param,0.975,0.7813,DGPLaplace_0_1,percentile_5,16,10,10000
ci_quant_nonparam,0.975,0.9912,DGPLaplace_0_1,percentile_5,16,10,10000
maritz-jarrett,0.975,0.0,DGPLaplace_0_1,percentile_5,16,10,10000
percentile,0.025,0.4288,DGPLaplace_0_1,percentile_5,16,100,10000
basic,0.025,0.1641,DGPLaplace_0_1,percentile_5,16,100,10000
bca,0.025,0.4288,DGPLaplace_0_1,percentile_5,16,100,10000
bc,0.025,0.4288,DGPLaplace_0_1,percentile_5,16,100,10000
standard,0.025,0.2285,DGPLaplace_0_1,percentile_5,16,100,10000
smoothed,0.025,0.3281,DGPLaplace_0_1,percentile_5,16,100,10000
double,0.025,0.4288,DGPLaplace_0_1,percentile_5,16,100,10000
studentized,0.025,0.0559,DGPLaplace_0_1,percentile_5,16,100,10000
ci_quant_param,0.025,0.0934,DGPLaplace_0_1,percentile_5,16,100,10000
ci_quant_nonparam,0.025,0.4288,DGPLaplace_0_1,percentile_5,16,100,10000
maritz-jarrett,0.025,0.0,DGPLaplace_0_1,percentile_5,16,100,10000
percentile,0.05,0.4288,DGPLaplace_0_1,percentile_5,16,100,10000
basic,0.05,0.1925,DGPLaplace_0_1,percentile_5,16,100,10000
bca,0.05,0.4288,DGPLaplace_0_1,percentile_5,16,100,10000
bc,0.05,0.4288,DGPLaplace_0_1,percentile_5,16,100,10000
standard,0.05,0.2561,DGPLaplace_0_1,percentile_5,16,100,10000
smoothed,0.05,0.3449,DGPLaplace_0_1,percentile_5,16,100,10000
double,0.05,0.4288,DGPLaplace_0_1,percentile_5,16,100,10000
studentized,0.05,0.1012,DGPLaplace_0_1,percentile_5,16,100,10000
ci_quant_param,0.05,0.1377,DGPLaplace_0_1,percentile_5,16,100,10000
ci_quant_nonparam,0.05,0.4288,DGPLaplace_0_1,percentile_5,16,100,10000
maritz-jarrett,0.05,0.0,DGPLaplace_0_1,percentile_5,16,100,10000
percentile,0.25,0.448,DGPLaplace_0_1,percentile_5,16,100,10000
basic,0.25,0.2895,DGPLaplace_0_1,percentile_5,16,100,10000
bca,0.25,0.4288,DGPLaplace_0_1,percentile_5,16,100,10000
bc,0.25,0.4288,DGPLaplace_0_1,percentile_5,16,100,10000
standard,0.25,0.3623,DGPLaplace_0_1,percentile_5,16,100,10000
smoothed,0.25,0.4122,DGPLaplace_0_1,percentile_5,16,100,10000
double,0.25,0.4288,DGPLaplace_0_1,percentile_5,16,100,10000
studentized,0.25,0.2696,DGPLaplace_0_1,percentile_5,16,100,10000
ci_quant_param,0.25,0.3143,DGPLaplace_0_1,percentile_5,16,100,10000
ci_quant_nonparam,0.25,0.4288,DGPLaplace_0_1,percentile_5,16,100,10000
maritz-jarrett,0.25,0.0,DGPLaplace_0_1,percentile_5,16,100,10000
percentile,0.75,0.8257,DGPLaplace_0_1,percentile_5,16,100,10000
basic,0.75,0.5039,DGPLaplace_0_1,percentile_5,16,100,10000
bca,0.75,0.4559,DGPLaplace_0_1,percentile_5,16,100,10000
bc,0.75,0.4559,DGPLaplace_0_1,percentile_5,16,100,10000
standard,0.75,0.6251,DGPLaplace_0_1,percentile_5,16,100,10000
smoothed,0.75,0.7619,DGPLaplace_0_1,percentile_5,16,100,10000
double,0.75,0.5028,DGPLaplace_0_1,percentile_5,16,100,10000
studentized,0.75,0.5005,DGPLaplace_0_1,percentile_5,16,100,10000
ci_quant_param,0.75,0.5894,DGPLaplace_0_1,percentile_5,16,100,10000
ci_quant_nonparam,0.75,0.8112,DGPLaplace_0_1,percentile_5,16,100,10000
maritz-jarrett,0.75,0.0,DGPLaplace_0_1,percentile_5,16,100,10000
percentile,0.95,0.9754,DGPLaplace_0_1,percentile_5,16,100,10000
basic,0.95,0.5223,DGPLaplace_0_1,percentile_5,16,100,10000
bca,0.95,0.5899,DGPLaplace_0_1,percentile_5,16,100,10000
bc,0.95,0.6698,DGPLaplace_0_1,percentile_5,16,100,10000
standard,0.95,0.8791,DGPLaplace_0_1,percentile_5,16,100,10000
smoothed,0.95,0.9728,DGPLaplace_0_1,percentile_5,16,100,10000
double,0.95,0.8456,DGPLaplace_0_1,percentile_5,16,100,10000
studentized,0.95,0.7006,DGPLaplace_0_1,percentile_5,16,100,10000
ci_quant_param,0.95,0.7492,DGPLaplace_0_1,percentile_5,16,100,10000
ci_quant_nonparam,0.95,0.956,DGPLaplace_0_1,percentile_5,16,100,10000
maritz-jarrett,0.95,0.0,DGPLaplace_0_1,percentile_5,16,100,10000
percentile,0.975,0.9905,DGPLaplace_0_1,percentile_5,16,100,10000
basic,0.975,0.5223,DGPLaplace_0_1,percentile_5,16,100,10000
bca,0.975,0.7258,DGPLaplace_0_1,percentile_5,16,100,10000
bc,0.975,0.8068,DGPLaplace_0_1,percentile_5,16,100,10000
standard,0.975,0.9339,DGPLaplace_0_1,percentile_5,16,100,10000
