alpha,dgp,statistic,n,B,repetitions,true_value,exact,percentile,basic,bca,bc,standard,smoothed,double,studentized,ttest,wilcoxon,ci_quant_param,ci_quant_nonparam,maritz-jarrett,chi_sq,ci_corr_pearson,double-std
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.67789219231438,,,,,,,,,-0.3306404584223239,-0.37819791678127834,,,,,,-1.321005001426145
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.4875954002284328,,,,,,,,,-1.0744176441833178,-0.9584819938637619,,,,,,-0.7398589117351981
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.4732889054537164,,,,,,,,,-0.22800001812367787,-0.1839591043525008,,,,,,-1.8810652702481887
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.5094834039045977,,,,,,,,,-2.5836408411646925,-1.9213239214266646,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.387819265598512,,,,,,,,,-1.4950969349114602,-1.584084251490613,,,,,,-2.0221387074475103
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.2019953305450661,,,,,,,,,-1.2983654443535606,-1.1550219280283607,,,,,,-0.9566431034309895
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.7231144242596048,,,,,,,,,-1.4662759053854295,-0.6650259377212772,,,,,,-1.7986631821234687
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.9318391224201499,,,,,,,,,-0.8443028264584898,-0.9206101601841863,,,,,,-2.961813145014541
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.2437774434030566,,,,,,,,,-0.9636932460168837,-0.8378268632043671,,,,,,-0.9980829870569788
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.117841171122889,,,,,,,,,-1.6750575760132855,-1.243410249799168,,,,,,-inf
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.7476697577704126,,,,,,,,,-1.8795298501528985,-1.5137462409122044,,,,,,-1.3397204268125067
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.7796912769013162,,,,,,,,,-1.8882773938959223,-0.9640776657078245,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.48143483626098704,,,,,,,,,-1.565453564528064,-0.5140505775575379,,,,,,0.05602861757320704
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.02024502151477703,,,,,,,,,0.022582715626860095,0.27949317520133443,,,,,,-0.270074681954001
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.7179913365937391,,,,,,,,,-0.7258239716341395,-0.6060519707706267,,,,,,-0.19117698082285367
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.1115262175796206,,,,,,,,,-1.6677901974206253,-1.3947828538843654,,,,,,-0.7207867484678714
0.025,DGPNorm_0_1,mean,4,10,1000,0,-1.2180764824542547,,,,,,,,,-2.1770836753962888,-1.659226475450579,,,,,,-0.8752931883641744
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.7793975092077006,,,,,,,,,-0.9507735727000626,-0.7803486746655383,,,,,,-2.009486238818594
0.025,DGPNorm_0_1,mean,4,10,1000,0,0.03253114925039369,,,,,,,,,0.030215829355016988,0.09446503110975148,,,,,,
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.7137100019190877,,,,,,,,,-0.5957498647401919,-0.5884464754873147,,,,,,-0.4087715412971539
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.32324687299148236,,,,,,,,,-1.1962600280724236,-1.2204286816290528,,,,,,-2.5094045058871886
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.35370761141596363,,,,,,,,,-0.12614311877605222,0.03532240980497528,,,,,,-0.34482804011943324
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.8313657240345083,,,,,,,,,-0.8149988669426416,-0.4644670554764374,,,,,,-0.3714179813411156
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.9418104935255818,,,,,,,,,-1.065981246153418,-0.8173575770280131,,,,,,-1.0578293342171166
0.025,DGPNorm_0_1,mean,4,10,1000,0,-0.8365285809527672,,,,,,,,,-2.2512656052844333,-2.366215655945589,,,,,,-16.109559847537426
