dgp,statistic,n,B,repetitions,percentile,basic,bca,bc,standard,smoothed,double,studentized,ttest,wilcoxon,ci_quant_param,ci_quant_nonparam,maritz-jarrett,chi_sq,ci_corr_pearson,double-std
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.000957489013671875,0.010014057159423828,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0010225772857666016,0.01000213623046875,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009974479675292969,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.000997304916381836,0.00900411605834961,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010069608688354492,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010117530822753906,,,,,,0.0010001659393310547
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009975433349609375,0.011973381042480469,,,,,,0.0009970664978027344
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009951591491699219,0.009015798568725586,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009963274002075195,,,,,,0.000995635986328125
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.008951663970947266,,,,,,0.000997304916381836
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.000997304916381836,0.009972810745239258,,,,,,0.001033782958984375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.008964776992797852,,,,,,0.0010089874267578125
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009976863861083984,,,,,,0.000993967056274414
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0010223388671875,0.008939266204833984,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009984493255615234,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010959625244140625,,,,,,0.0009970664978027344
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.008951663970947266,,,,,,0.0009970664978027344
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009978532791137695,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010484457015991211,,,,,,0.0009970664978027344
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.00953531265258789,,,,,,0.0009965896606445312
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010970830917358398,,,,,,0.0010018348693847656
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.008971929550170898,,,,,,0.0010137557983398438
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009986162185668945,,,,,,0.0009713172912597656
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0006320476531982422,0.00900125503540039,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0010037422180175781,0.01000666618347168,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009956121444702148,,,,,,0.0009961128234863281
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009947776794433594,,,,,,0.0009965896606445312
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.00997471809387207,,,,,,0.0009970664978027344
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009620189666748047,0.01001286506652832,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010482311248779297,,,,,,0.0009953975677490234
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.000997304916381836,0.008975744247436523,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009973287582397461,,,,,,0.0010106563568115234
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009990215301513672,,,,,,0.0009970664978027344
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009072542190551758,,,,,,0.0009965896606445312
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.01196908950805664,,,,,,0.0009965896606445312
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0010006427764892578,0.009007692337036133,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009987354278564453,0.009540796279907227,,,,,,0.0009598731994628906
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009483098983764648,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.01047968864440918,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0009975433349609375,0.008484840393066406,,,,,,0.0
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.010479450225830078,,,,,,0.0009975433349609375
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0,0.009508848190307617,,,,,,0.0015087127685546875
DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.0005125999450683594,0.010004758834838867,,,,,,0.0
