CI,dgp,statistic,n,B,repetitions,percentile,basic,bca,bc,standard,smoothed,double,studentized,ttest,wilcoxon,ci_quant_param,ci_quant_nonparam,maritz-jarrett,chi_sq,ci_corr_pearson,double-std
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.293782790380484,2.650035392356315,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.6018866522290232,1.7333131743874688,,,,,,2.5482060086222686
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.3327056392298355,1.2686565731607866,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.9105147158290678,2.170542258617986,,,,,,1.1222235222464323
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.7924375956775456,1.8950198018567794,,,,,,6.755738846694702
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.5942730743638727,1.8421664320290339,,,,,,0.8635284938397884
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.6036447045862463,1.6694348147891709,,,,,,1.8711747223265924
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.7027744141795651,0.8353721348764545,,,,,,0.7711469228817445
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.1229528095134325,2.365257916249817,,,,,,3.0276725440903824
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.9669995036066967,2.0442557315059613,,,,,,1.7328217782035118
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.7116480604458539,0.753312217001501,,,,,,1.1258439334910353
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.2778995863029867,1.3840511280417829,,,,,,1.470838024172738
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.446212724933289,1.6626380388914426,,,,,,0.9201522242973705
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.5465071467571927,2.851677565224881,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.9978250423072315,2.1904307730552643,,,,,,1.1237971916706129
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,3.3743679633322303,3.858445530039692,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.110892792104817,2.424212983477655,,,,,,5.173079854370258
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.9854562320716997,2.016864041440284,,,,,,8.867009996781873
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.2884022412963105,2.5939901254748503,,,,,,0.5577503764343414
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.2794473635172057,1.377956785983955,,,,,,6.11350534689899
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.5581940935587408,1.8040218013725617,,,,,,3.5568039273744136
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.6220437761921596,1.7110986334183216,,,,,,13.255695066298074
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.0735036665898834,2.4364677663105967,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.143508557446327,2.47902517167355,,,,,,
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.6584837483912642,1.889154291075743,,,,,,
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.9803054477156038,1.0131140559437037,,,,,,2.2968787620208717
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,0.7397349345876427,0.7612359074366108,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.5173024619242623,2.740832697740352,,,,,,2.076369901276377
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.785094745151927,2.1331666583703552,,,,,,
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,2.106178349397885,2.1587814968300796,,,,,,inf
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.5191220901178089,1.38391668691848,,,,,,3.3494404716097654
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.835124299745274,2.0137713390460874,,,,,,1.3274875126134817
0.9,DGPNorm_0_1,mean,4,10,1000,,,,,,,,,1.8302526382171163,1.9401704990922533,,,,,,2.4168832374369527
